hour,occupancy,month,year,weekend,day
22,62,1,2014,False,23
23,62,1,2014,False,23
0,48,1,2014,False,24
1,48,1,2014,False,24
2,48,1,2014,False,24
3,48,1,2014,False,24
4,48,1,2014,False,24
5,69,1,2014,False,24
6,139,1,2014,False,24
7,264,1,2014,False,24
8,404,1,2014,False,24
9,545,1,2014,False,24
10,661,1,2014,False,24
11,709,1,2014,False,24
12,712,1,2014,False,24
13,716,1,2014,False,24
14,711,1,2014,False,24
15,659,1,2014,False,24
16,526,1,2014,False,24
17,367,1,2014,False,24
18,144,1,2014,False,24
19,96,1,2014,False,24
20,67,1,2014,False,24
21,44,1,2014,False,24
22,44,1,2014,False,24
23,31,1,2014,False,24
0,31,1,2014,True,25
1,33,1,2014,True,25
2,33,1,2014,True,25
3,33,1,2014,True,25
4,33,1,2014,True,25
5,31,1,2014,True,25
6,34,1,2014,True,25
7,41,1,2014,True,25
8,59,1,2014,True,25
9,77,1,2014,True,25
10,90,1,2014,True,25
11,97,1,2014,True,25
12,96,1,2014,True,25
13,93,1,2014,True,25
14,91,1,2014,True,25
15,81,1,2014,True,25
16,78,1,2014,True,25
17,65,1,2014,True,25
18,56,1,2014,True,25
19,54,1,2014,True,25
20,54,1,2014,True,25
21,44,1,2014,True,25
22,40,1,2014,True,25
23,35,1,2014,True,25
0,35,1,2014,True,26
1,35,1,2014,True,26
2,35,1,2014,True,26
3,35,1,2014,True,26
4,28,1,2014,True,26
5,29,1,2014,True,26
6,31,1,2014,True,26
7,35,1,2014,True,26
8,56,1,2014,True,26
9,71,1,2014,True,26
10,100,1,2014,True,26
11,102,1,2014,True,26
12,98,1,2014,True,26
13,70,1,2014,True,26
14,66,1,2014,True,26
15,66,1,2014,True,26
16,57,1,2014,True,26
17,49,1,2014,True,26
18,37,1,2014,True,26
19,38,1,2014,True,26
20,31,1,2014,True,26
21,31,1,2014,True,26
22,31,1,2014,True,26
23,31,1,2014,True,26
0,25,1,2014,False,27
1,25,1,2014,False,27
2,25,1,2014,False,27
3,24,1,2014,False,27
4,47,1,2014,False,27
5,228,1,2014,False,27
6,788,1,2014,False,27
7,1636,1,2014,False,27
8,2323,1,2014,False,27
9,2492,1,2014,False,27
10,2523,1,2014,False,27
11,2512,1,2014,False,27
12,2459,1,2014,False,27
13,2498,1,2014,False,27
14,2491,1,2014,False,27
15,2430,1,2014,False,27
16,2247,1,2014,False,27
17,1595,1,2014,False,27
18,800,1,2014,False,27
19,303,1,2014,False,27
20,134,1,2014,False,27
21,99,1,2014,False,27
22,78,1,2014,False,27
23,78,1,2014,False,27
0,78,1,2014,False,28
1,36,1,2014,False,28
2,37,1,2014,False,28
3,37,1,2014,False,28
4,43,1,2014,False,28
5,91,1,2014,False,28
6,206,1,2014,False,28
7,424,1,2014,False,28
8,670,1,2014,False,28
9,774,1,2014,False,28
10,822,1,2014,False,28
11,825,1,2014,False,28
12,806,1,2014,False,28
13,816,1,2014,False,28
14,801,1,2014,False,28
15,764,1,2014,False,28
16,652,1,2014,False,28
17,332,1,2014,False,28
18,243,1,2014,False,28
19,120,1,2014,False,28
20,96,1,2014,False,28
21,70,1,2014,False,28
22,49,1,2014,False,28
23,50,1,2014,False,28
0,50,1,2014,False,29
1,40,1,2014,False,29
2,40,1,2014,False,29
3,40,1,2014,False,29
4,60,1,2014,False,29
5,232,1,2014,False,29
6,835,1,2014,False,29
7,1711,1,2014,False,29
8,2376,1,2014,False,29
9,2610,1,2014,False,29
10,2636,1,2014,False,29
11,2632,1,2014,False,29
12,2562,1,2014,False,29
13,2639,1,2014,False,29
14,2634,1,2014,False,29
15,2578,1,2014,False,29
16,2361,1,2014,False,29
17,1639,1,2014,False,29
18,755,1,2014,False,29
19,356,1,2014,False,29
20,167,1,2014,False,29
21,110,1,2014,False,29
22,86,1,2014,False,29
23,86,1,2014,False,29
0,52,1,2014,False,30
1,43,1,2014,False,30
2,43,1,2014,False,30
3,38,1,2014,False,30
4,59,1,2014,False,30
5,227,1,2014,False,30
6,843,1,2014,False,30
7,1658,1,2014,False,30
8,2395,1,2014,False,30
9,2608,1,2014,False,30
10,2653,1,2014,False,30
11,2636,1,2014,False,30
12,2534,1,2014,False,30
13,2589,1,2014,False,30
14,2590,1,2014,False,30
15,2533,1,2014,False,30
16,2313,1,2014,False,30
17,1582,1,2014,False,30
18,786,1,2014,False,30
19,335,1,2014,False,30
20,172,1,2014,False,30
21,103,1,2014,False,30
22,74,1,2014,False,30
23,74,1,2014,False,30
0,46,1,2014,False,31
1,46,1,2014,False,31
2,46,1,2014,False,31
3,36,1,2014,False,31
4,45,1,2014,False,31
5,147,1,2014,False,31
6,514,1,2014,False,31
7,1126,1,2014,False,31
8,1710,1,2014,False,31
9,1888,1,2014,False,31
10,1912,1,2014,False,31
11,1908,1,2014,False,31
12,1760,1,2014,False,31
13,1661,1,2014,False,31
14,1623,1,2014,False,31
15,1470,1,2014,False,31
16,1152,1,2014,False,31
17,726,1,2014,False,31
18,320,1,2014,False,31
19,127,1,2014,False,31
20,76,1,2014,False,31
21,59,1,2014,False,31
22,54,1,2014,False,31
23,35,1,2014,False,31
0,35,2,2014,True,1
1,35,2,2014,True,1
2,28,2,2014,True,1
3,26,2,2014,True,1
4,26,2,2014,True,1
5,26,2,2014,True,1
6,30,2,2014,True,1
7,35,2,2014,True,1
8,56,2,2014,True,1
9,71,2,2014,True,1
10,87,2,2014,True,1
11,94,2,2014,True,1
12,92,2,2014,True,1
13,93,2,2014,True,1
14,90,2,2014,True,1
15,85,2,2014,True,1
16,79,2,2014,True,1
17,56,2,2014,True,1
18,49,2,2014,True,1
19,44,2,2014,True,1
20,44,2,2014,True,1
21,35,2,2014,True,1
22,35,2,2014,True,1
23,35,2,2014,True,1
0,35,2,2014,True,2
1,35,2,2014,True,2
2,35,2,2014,True,2
3,35,2,2014,True,2
4,35,2,2014,True,2
5,25,2,2014,True,2
6,25,2,2014,True,2
7,25,2,2014,True,2
8,41,2,2014,True,2
9,59,2,2014,True,2
10,87,2,2014,True,2
11,99,2,2014,True,2
12,100,2,2014,True,2
13,63,2,2014,True,2
14,65,2,2014,True,2
15,65,2,2014,True,2
16,57,2,2014,True,2
17,44,2,2014,True,2
18,44,2,2014,True,2
19,34,2,2014,True,2
20,34,2,2014,True,2
21,29,2,2014,True,2
22,28,2,2014,True,2
23,28,2,2014,True,2
0,28,2,2014,False,3
1,28,2,2014,False,3
2,28,2,2014,False,3
3,23,2,2014,False,3
4,43,2,2014,False,3
5,205,2,2014,False,3
6,777,2,2014,False,3
7,1611,2,2014,False,3
8,2265,2,2014,False,3
9,2439,2,2014,False,3
10,2501,2,2014,False,3
11,2503,2,2014,False,3
12,2449,2,2014,False,3
13,2480,2,2014,False,3
14,2474,2,2014,False,3
15,2417,2,2014,False,3
16,2208,2,2014,False,3
17,1531,2,2014,False,3
18,749,2,2014,False,3
19,293,2,2014,False,3
20,146,2,2014,False,3
21,95,2,2014,False,3
22,58,2,2014,False,3
23,58,2,2014,False,3
0,58,2,2014,False,4
1,27,2,2014,False,4
2,27,2,2014,False,4
3,23,2,2014,False,4
4,46,2,2014,False,4
5,206,2,2014,False,4
6,810,2,2014,False,4
7,1641,2,2014,False,4
8,2358,2,2014,False,4
9,2566,2,2014,False,4
10,2598,2,2014,False,4
11,2577,2,2014,False,4
12,2516,2,2014,False,4
13,2563,2,2014,False,4
14,2566,2,2014,False,4
15,2541,2,2014,False,4
16,2305,2,2014,False,4
17,1641,2,2014,False,4
18,804,2,2014,False,4
19,287,2,2014,False,4
20,154,2,2014,False,4
21,97,2,2014,False,4
22,97,2,2014,False,4
23,50,2,2014,False,4
0,44,2,2014,False,5
1,41,2,2014,False,5
2,41,2,2014,False,5
3,39,2,2014,False,5
4,61,2,2014,False,5
5,212,2,2014,False,5
6,827,2,2014,False,5
7,1693,2,2014,False,5
8,2363,2,2014,False,5
9,2571,2,2014,False,5
10,2614,2,2014,False,5
11,2591,2,2014,False,5
12,2514,2,2014,False,5
13,2563,2,2014,False,5
14,2574,2,2014,False,5
15,2525,2,2014,False,5
16,2299,2,2014,False,5
17,1629,2,2014,False,5
18,943,2,2014,False,5
19,357,2,2014,False,5
20,157,2,2014,False,5
21,134,2,2014,False,5
22,75,2,2014,False,5
23,75,2,2014,False,5
0,43,2,2014,False,6
1,43,2,2014,False,6
2,43,2,2014,False,6
3,38,2,2014,False,6
4,59,2,2014,False,6
5,211,2,2014,False,6
6,776,2,2014,False,6
7,1584,2,2014,False,6
8,2286,2,2014,False,6
9,2499,2,2014,False,6
10,2567,2,2014,False,6
11,2567,2,2014,False,6
12,2473,2,2014,False,6
13,2509,2,2014,False,6
14,2518,2,2014,False,6
15,2465,2,2014,False,6
16,2231,2,2014,False,6
17,1514,2,2014,False,6
18,718,2,2014,False,6
19,265,2,2014,False,6
20,137,2,2014,False,6
21,93,2,2014,False,6
22,54,2,2014,False,6
23,40,2,2014,False,6
0,35,2,2014,False,7
1,35,2,2014,False,7
2,35,2,2014,False,7
3,31,2,2014,False,7
4,47,2,2014,False,7
5,136,2,2014,False,7
6,473,2,2014,False,7
7,1101,2,2014,False,7
8,1654,2,2014,False,7
9,1793,2,2014,False,7
10,1820,2,2014,False,7
11,1800,2,2014,False,7
12,1649,2,2014,False,7
13,1615,2,2014,False,7
14,1589,2,2014,False,7
15,1437,2,2014,False,7
16,1127,2,2014,False,7
17,685,2,2014,False,7
18,287,2,2014,False,7
19,138,2,2014,False,7
20,85,2,2014,False,7
21,73,2,2014,False,7
22,51,2,2014,False,7
23,51,2,2014,False,7
0,34,2,2014,True,8
1,34,2,2014,True,8
2,32,2,2014,True,8
3,31,2,2014,True,8
4,31,2,2014,True,8
5,31,2,2014,True,8
6,36,2,2014,True,8
7,48,2,2014,True,8
8,62,2,2014,True,8
9,80,2,2014,True,8
10,97,2,2014,True,8
11,98,2,2014,True,8
12,98,2,2014,True,8
13,97,2,2014,True,8
14,80,2,2014,True,8
15,79,2,2014,True,8
16,70,2,2014,True,8
